,Source,Destination,Total_Stops,airline_IndiGo,airline_Jet Airways,airline_other,info_No info,day,month,year,dep_hour,dep_minute,arrival_hour,arrival_minute,duration_hours
0,2,2,3.0,1,0,0,1,24,3,2019,22,20,1,10,2
1,3,3,2.0,0,0,0,1,1,5,2019,5,50,13,15,7
2,4,4,2.0,0,1,0,1,9,6,2019,9,25,4,25,19
3,3,3,1.0,1,0,0,1,12,5,2019,18,5,23,30,5
4,2,2,1.0,1,0,0,1,1,3,2019,16,50,21,35,4
5,3,3,3.0,0,0,1,1,24,6,2019,9,0,11,25,2
6,2,2,1.0,0,1,0,0,12,3,2019,18,55,10,25,15
7,2,2,1.0,0,1,0,1,1,3,2019,8,0,5,5,21
8,2,2,1.0,0,1,0,0,12,3,2019,8,55,10,25,25
9,4,4,1.0,0,0,1,1,27,5,2019,11,25,19,15,7
10,4,4,1.0,0,0,0,1,1,6,2019,9,45,23,0,13
11,3,3,3.0,1,0,0,1,18,4,2019,20,20,22,55,2
12,0,0,3.0,0,0,0,1,24,6,2019,11,40,13,55,2
13,3,3,1.0,0,1,0,0,9,5,2019,21,10,9,20,12
14,3,3,3.0,1,0,0,1,24,4,2019,17,15,19,50,2
15,4,4,2.0,0,0,0,1,3,3,2019,16,40,19,15,26
16,4,4,1.0,0,0,1,1,15,4,2019,8,45,13,15,4
17,4,4,1.0,0,1,0,0,12,6,2019,14,0,12,35,22
18,4,4,2.0,0,0,0,1,12,6,2019,20,15,19,15,23
19,4,4,1.0,0,1,0,0,27,5,2019,16,0,12,35,20
20,4,4,1.0,0,0,1,1,6,3,2019,14,10,19,20,5
21,2,2,1.0,0,0,0,1,21,3,2019,22,0,13,20,15
22,2,2,3.0,1,0,0,1,3,4,2019,4,0,6,50,2
23,2,2,3.0,1,0,0,1,1,5,2019,18,55,21,50,2
24,3,3,1.0,0,1,0,0,6,5,2019,18,55,8,15,13
25,4,4,2.0,0,1,0,1,9,6,2019,21,25,12,35,15
26,4,4,1.0,1,0,0,1,1,6,2019,21,50,3,35,5
27,4,4,1.0,0,0,1,1,15,5,2019,7,0,12,55,5
28,2,2,3.0,0,0,1,1,18,6,2019,9,45,12,35,2
29,0,0,3.0,0,0,1,1,15,6,2019,7,5,9,20,2
30,0,0,3.0,0,0,1,1,18,6,2019,7,5,9,20,2
31,3,3,2.0,0,0,0,1,1,5,2019,9,50,23,15,13
32,2,2,3.0,1,0,0,1,6,4,2019,4,0,6,50,2
33,4,4,2.0,0,1,0,0,15,6,2019,14,35,12,35,22
34,4,4,1.0,0,1,0,0,18,5,2019,7,5,12,35,5
35,4,4,1.0,1,0,0,1,27,6,2019,10,35,21,0,10
36,3,3,1.0,0,0,1,1,21,5,2019,15,5,20,20,5
37,3,3,3.0,0,0,0,1,18,5,2019,14,15,16,45,2
38,2,2,1.0,0,1,0,1,6,3,2019,7,0,13,15,6
39,4,4,1.0,0,1,0,1,3,6,2019,7,5,19,0,11
40,4,4,1.0,0,0,1,1,21,5,2019,7,5,18,10,11
41,2,2,1.0,0,0,0,1,15,3,2019,6,45,15,15,8
42,4,4,1.0,0,1,0,0,18,5,2019,20,55,19,0,22
43,2,2,3.0,0,0,1,1,6,5,2019,11,10,13,55,2
44,4,4,1.0,0,0,1,1,21,3,2019,9,0,21,0,12
45,2,2,3.0,0,0,1,0,24,3,2019,5,45,8,35,2
46,2,2,3.0,1,0,0,1,27,5,2019,4,0,6,50,2
47,0,0,3.0,0,0,0,1,3,5,2019,11,40,13,55,2
48,3,3,1.0,0,0,0,1,15,5,2019,19,0,11,5,16
49,4,4,2.0,0,1,0,0,27,6,2019,23,5,19,0,19
50,4,4,3.0,0,1,0,0,9,3,2019,11,0,14,15,3
51,3,3,1.0,0,1,0,1,1,5,2019,9,35,10,55,25
52,2,2,3.0,1,0,0,1,24,3,2019,22,20,1,10,2
53,2,2,3.0,1,0,0,1,18,6,2019,21,15,0,15,3
54,2,2,3.0,0,0,1,1,3,4,2019,23,55,2,45,2
55,3,3,1.0,0,1,0,1,24,3,2019,19,45,12,0,16
56,2,2,2.0,0,0,0,1,1,3,2019,8,50,23,55,15
57,0,0,3.0,0,0,1,1,6,3,2019,7,5,9,20,2
58,4,4,1.0,0,0,1,1,6,5,2019,19,0,1,30,6
59,1,1,1.0,0,0,1,1,6,3,2019,15,40,16,45,25
60,3,3,1.0,0,0,0,1,6,6,2019,9,25,21,50,12
61,4,4,1.0,0,0,0,1,3,4,2019,6,5,9,25,27
62,4,4,1.0,0,0,1,1,3,6,2019,8,45,19,0,10
63,4,4,1.0,1,0,0,1,15,5,2019,15,0,1,30,10
64,0,0,3.0,0,0,1,1,24,5,2019,7,5,9,20,2
65,4,4,1.0,1,0,0,1,24,6,2019,10,35,21,0,10
66,2,2,3.0,0,0,1,1,24,4,2019,9,45,12,35,2
67,1,1,3.0,0,0,0,1,6,5,2019,13,55,15,25,1
68,4,4,2.0,0,0,0,1,21,5,2019,5,55,19,15,13
69,0,0,3.0,1,0,0,1,12,3,2019,13,20,15,35,2
70,1,1,3.0,0,1,0,1,1,6,2019,7,5,8,30,1
71,2,2,1.0,0,1,0,0,9,3,2019,5,45,8,15,26
72,4,4,1.0,0,0,1,0,24,6,2019,11,40,19,0,7
73,4,4,2.0,0,1,0,1,24,6,2019,23,5,12,35,13
74,4,4,1.0,1,0,0,1,21,3,2019,5,5,10,5,5
75,2,2,3.0,0,0,1,1,9,3,2019,9,50,12,35,2
76,2,2,3.0,0,0,1,1,3,4,2019,11,40,14,30,2
77,1,1,3.0,1,0,0,1,3,4,2019,6,25,7,55,1
78,4,4,1.0,0,1,0,0,15,6,2019,17,30,12,35,19
79,0,0,3.0,0,0,1,0,21,3,2019,8,20,10,35,2
80,3,3,1.0,0,1,0,0,9,6,2019,21,10,12,0,14
81,2,2,3.0,0,1,0,1,24,3,2019,19,55,22,35,2
82,3,3,1.0,0,1,0,1,6,5,2019,6,30,4,40,22
83,4,4,1.0,1,0,0,1,27,6,2019,11,25,21,0,9
84,4,4,1.0,0,0,1,1,18,5,2019,9,0,19,0,10
85,2,2,1.0,0,1,0,0,6,3,2019,14,5,11,25,21
86,4,4,1.0,1,0,0,1,24,6,2019,2,0,7,25,5
87,4,4,2.0,0,1,0,1,6,6,2019,9,40,4,25,18
88,3,3,1.0,0,1,0,0,1,4,2019,8,25,20,45,12
89,3,3,1.0,0,1,0,0,24,5,2019,20,25,14,25,18
90,4,4,1.0,0,0,1,1,27,5,2019,13,15,22,30,9
91,4,4,1.0,0,0,1,1,6,3,2019,2,15,13,20,11
92,2,2,1.0,0,1,0,1,12,3,2019,16,55,10,25,17
93,4,4,2.0,0,0,0,1,6,3,2019,5,55,19,15,13
94,3,3,3.0,0,0,0,1,21,4,2019,20,45,23,20,2
95,0,0,3.0,1,0,0,1,21,6,2019,5,15,7,40,2
96,2,2,3.0,0,0,1,0,15,5,2019,5,55,8,35,2
97,2,2,3.0,0,1,0,0,3,6,2019,19,50,22,50,3
98,1,1,3.0,0,1,0,1,18,6,2019,7,5,8,30,1
99,4,4,2.0,0,1,0,1,12,6,2019,20,0,12,35,16
100,3,3,1.0,0,1,0,1,15,5,2019,8,25,20,45,12
101,3,3,1.0,0,1,0,1,9,6,2019,20,0,8,15,12
102,4,4,1.0,0,1,0,0,24,6,2019,20,55,4,25,7
103,3,3,1.0,0,0,0,1,12,5,2019,14,35,14,35,24
104,2,2,3.0,0,0,0,1,1,5,2019,6,10,8,55,2
105,4,4,2.0,0,1,0,0,18,5,2019,19,30,4,25,8
106,4,4,1.0,0,0,1,1,27,3,2019,11,40,18,50,7
107,4,4,1.0,0,0,1,1,27,3,2019,4,45,19,15,14
108,4,4,2.0,0,0,0,1,9,5,2019,12,55,19,15,30
109,4,4,2.0,0,1,0,1,24,5,2019,23,5,19,0,19
110,2,2,1.0,0,1,0,1,18,3,2019,14,5,5,5,15
111,2,2,3.0,1,0,0,1,12,4,2019,18,55,21,50,2
112,3,3,1.0,0,0,1,1,12,5,2019,20,20,9,5,12
113,4,4,1.0,0,1,0,1,6,3,2019,18,15,4,25,10
114,4,4,1.0,0,0,1,1,27,6,2019,7,0,12,55,5
115,4,4,1.0,0,0,1,1,18,5,2019,7,5,22,30,15
116,4,4,1.0,0,0,0,1,6,3,2019,17,20,9,25,16
117,4,4,1.0,0,0,1,1,3,3,2019,15,25,1,35,10
118,2,2,3.0,0,0,1,1,12,6,2019,7,0,9,40,2
119,4,4,1.0,0,1,0,1,9,5,2019,7,5,19,0,11
120,2,2,3.0,0,0,1,1,9,4,2019,5,55,8,35,2
121,1,1,3.0,0,0,0,1,3,5,2019,15,0,16,25,1
122,3,3,1.0,0,1,0,0,6,5,2019,20,0,10,5,14
123,4,4,1.0,0,0,0,1,1,3,2019,23,0,19,15,20
124,0,0,3.0,1,0,0,1,12,5,2019,5,15,7,40,2
125,3,3,2.0,0,0,0,1,21,5,2019,12,0,11,10,23
126,3,3,1.0,0,1,0,1,12,6,2019,14,5,8,15,18
127,3,3,1.0,0,1,0,1,6,5,2019,20,0,12,0,16
128,2,2,3.0,1,0,0,1,24,6,2019,4,0,6,50,2
129,0,0,3.0,1,0,0,1,3,6,2019,14,45,17,5,2
130,2,2,1.0,0,0,0,1,21,3,2019,11,50,19,50,8
131,4,4,1.0,0,1,0,0,15,6,2019,11,30,4,25,16
132,4,4,3.0,0,0,1,1,12,5,2019,14,40,17,50,3
133,3,3,3.0,1,0,0,1,15,6,2019,20,25,23,10,2
