,Source,Destination,Total_Stops,airline_IndiGo,airline_Jet Airways,airline_other,info_No info,day,month,year,dep_hour,dep_minute,arrival_hour,arrival_minute,duration_hours
0,2,2,3.0,1,0,0,1,24,03,2019,22,20,01,10,2
1,3,3,2.0,0,0,0,1,1,05,2019,05,50,13,15,7
2,4,4,2.0,0,1,0,1,9,06,2019,09,25,04,25,19
3,3,3,1.0,1,0,0,1,12,05,2019,18,05,23,30,5
4,2,2,1.0,1,0,0,1,01,03,2019,16,50,21,35,4
5,3,3,3.0,0,0,1,1,24,06,2019,09,00,11,25,2
6,2,2,1.0,0,1,0,0,12,03,2019,18,55,10,25,15
7,2,2,1.0,0,1,0,1,01,03,2019,08,00,05,05,21
8,2,2,1.0,0,1,0,0,12,03,2019,08,55,10,25,25
9,4,4,1.0,0,0,1,1,27,05,2019,11,25,19,15,7
10,4,4,1.0,0,0,0,1,1,06,2019,09,45,23,00,13
11,3,3,3.0,1,0,0,1,18,04,2019,20,20,22,55,2
12,0,0,3.0,0,0,0,1,24,06,2019,11,40,13,55,2
13,3,3,1.0,0,1,0,0,9,05,2019,21,10,09,20,12
14,3,3,3.0,1,0,0,1,24,04,2019,17,15,19,50,2
15,4,4,2.0,0,0,0,1,3,03,2019,16,40,19,15,26
16,4,4,1.0,0,0,1,1,15,04,2019,08,45,13,15,4
17,4,4,1.0,0,1,0,0,12,06,2019,14,00,12,35,22
18,4,4,2.0,0,0,0,1,12,06,2019,20,15,19,15,23
19,4,4,1.0,0,1,0,0,27,05,2019,16,00,12,35,20
20,4,4,1.0,0,0,1,1,6,03,2019,14,10,19,20,5
21,2,2,1.0,0,0,0,1,21,03,2019,22,00,13,20,15
22,2,2,3.0,1,0,0,1,3,04,2019,04,00,06,50,2
23,2,2,3.0,1,0,0,1,1,05,2019,18,55,21,50,2
24,3,3,1.0,0,1,0,0,6,05,2019,18,55,08,15,13
25,4,4,2.0,0,1,0,1,9,06,2019,21,25,12,35,15
26,4,4,1.0,1,0,0,1,1,06,2019,21,50,03,35,5
27,4,4,1.0,0,0,1,1,15,05,2019,07,00,12,55,5
28,2,2,3.0,0,0,1,1,18,06,2019,09,45,12,35,2
29,0,0,3.0,0,0,1,1,15,06,2019,07,05,09,20,2
30,0,0,3.0,0,0,1,1,18,06,2019,07,05,09,20,2
31,3,3,2.0,0,0,0,1,1,05,2019,09,50,23,15,13
32,2,2,3.0,1,0,0,1,6,04,2019,04,00,06,50,2
33,4,4,2.0,0,1,0,0,15,06,2019,14,35,12,35,22
34,4,4,1.0,0,1,0,0,18,05,2019,07,05,12,35,5
35,4,4,1.0,1,0,0,1,27,06,2019,10,35,21,00,10
36,3,3,1.0,0,0,1,1,21,05,2019,15,05,20,20,5
37,3,3,3.0,0,0,0,1,18,05,2019,14,15,16,45,2
38,2,2,1.0,0,1,0,1,06,03,2019,07,00,13,15,6
39,4,4,1.0,0,1,0,1,3,06,2019,07,05,19,00,11
40,4,4,1.0,0,0,1,1,21,05,2019,07,05,18,10,11
41,2,2,1.0,0,0,0,1,15,03,2019,06,45,15,15,8
42,4,4,1.0,0,1,0,0,18,05,2019,20,55,19,00,22
43,2,2,3.0,0,0,1,1,6,05,2019,11,10,13,55,2
44,4,4,1.0,0,0,1,1,21,03,2019,09,00,21,00,12
45,2,2,3.0,0,0,1,0,24,03,2019,05,45,08,35,2
46,2,2,3.0,1,0,0,1,27,05,2019,04,00,06,50,2
47,0,0,3.0,0,0,0,1,3,05,2019,11,40,13,55,2
48,3,3,1.0,0,0,0,1,15,05,2019,19,00,11,05,16
49,4,4,2.0,0,1,0,0,27,06,2019,23,05,19,00,19
50,4,4,3.0,0,1,0,0,9,03,2019,11,00,14,15,3
51,3,3,1.0,0,1,0,1,1,05,2019,09,35,10,55,25
52,2,2,3.0,1,0,0,1,24,03,2019,22,20,01,10,2
53,2,2,3.0,1,0,0,1,18,06,2019,21,15,00,15,3
54,2,2,3.0,0,0,1,1,3,04,2019,23,55,02,45,2
55,3,3,1.0,0,1,0,1,24,03,2019,19,45,12,00,16
56,2,2,2.0,0,0,0,1,01,03,2019,08,50,23,55,15
57,0,0,3.0,0,0,1,1,6,03,2019,07,05,09,20,2
58,4,4,1.0,0,0,1,1,6,05,2019,19,00,01,30,6
59,1,1,1.0,0,0,1,1,6,03,2019,15,40,16,45,25
60,3,3,1.0,0,0,0,1,6,06,2019,09,25,21,50,12
61,4,4,1.0,0,0,0,1,3,04,2019,06,05,09,25,27
62,4,4,1.0,0,0,1,1,3,06,2019,08,45,19,00,10
63,4,4,1.0,1,0,0,1,15,05,2019,15,00,01,30,10
64,0,0,3.0,0,0,1,1,24,05,2019,07,05,09,20,2
65,4,4,1.0,1,0,0,1,24,06,2019,10,35,21,00,10
66,2,2,3.0,0,0,1,1,24,04,2019,09,45,12,35,2
67,1,1,3.0,0,0,0,1,6,05,2019,13,55,15,25,1
68,4,4,2.0,0,0,0,1,21,05,2019,05,55,19,15,13
69,0,0,3.0,1,0,0,1,12,03,2019,13,20,15,35,2
70,1,1,3.0,0,1,0,1,1,06,2019,07,05,08,30,1
71,2,2,1.0,0,1,0,0,09,03,2019,05,45,08,15,26
72,4,4,1.0,0,0,1,0,24,06,2019,11,40,19,00,7
73,4,4,2.0,0,1,0,1,24,06,2019,23,05,12,35,13
74,4,4,1.0,1,0,0,1,21,03,2019,05,05,10,05,5
75,2,2,3.0,0,0,1,1,09,03,2019,09,50,12,35,2
76,2,2,3.0,0,0,1,1,3,04,2019,11,40,14,30,2
77,1,1,3.0,1,0,0,1,3,04,2019,06,25,07,55,1
78,4,4,1.0,0,1,0,0,15,06,2019,17,30,12,35,19
79,0,0,3.0,0,0,1,0,21,03,2019,08,20,10,35,2
80,3,3,1.0,0,1,0,0,9,06,2019,21,10,12,00,14
81,2,2,3.0,0,1,0,1,24,03,2019,19,55,22,35,2
82,3,3,1.0,0,1,0,1,6,05,2019,06,30,04,40,22
83,4,4,1.0,1,0,0,1,27,06,2019,11,25,21,00,9
84,4,4,1.0,0,0,1,1,18,05,2019,09,00,19,00,10
85,2,2,1.0,0,1,0,0,06,03,2019,14,05,11,25,21
86,4,4,1.0,1,0,0,1,24,06,2019,02,00,07,25,5
87,4,4,2.0,0,1,0,1,6,06,2019,09,40,04,25,18
88,3,3,1.0,0,1,0,0,1,04,2019,08,25,20,45,12
89,3,3,1.0,0,1,0,0,24,05,2019,20,25,14,25,18
90,4,4,1.0,0,0,1,1,27,05,2019,13,15,22,30,9
91,4,4,1.0,0,0,1,1,6,03,2019,02,15,13,20,11
92,2,2,1.0,0,1,0,1,12,03,2019,16,55,10,25,17
93,4,4,2.0,0,0,0,1,6,03,2019,05,55,19,15,13
94,3,3,3.0,0,0,0,1,21,04,2019,20,45,23,20,2
95,0,0,3.0,1,0,0,1,21,06,2019,05,15,07,40,2
96,2,2,3.0,0,0,1,0,15,05,2019,05,55,08,35,2
97,2,2,3.0,0,1,0,0,3,06,2019,19,50,22,50,3
