,Source,Destination,Total_Stops,airline_IndiGo,airline_Jet Airways,airline_other,info_No info,day,month,dep_hour,dep_minute,arrival_hour,arrival_minute,duration_hours,price
0,2,2,3.0,1,0,0,1,24,3,22,20,1,10,2,3897.0
1,3,3,2.0,0,0,0,1,1,5,5,50,13,15,7,7662.0
2,4,4,2.0,0,1,0,1,9,6,9,25,4,25,19,13882.0
3,3,3,1.0,1,0,0,1,12,5,18,5,23,30,5,6218.0
4,2,2,1.0,1,0,0,1,1,3,16,50,21,35,4,13302.0
5,3,3,3.0,0,0,1,1,24,6,9,0,11,25,2,3873.0
6,2,2,1.0,0,1,0,0,12,3,18,55,10,25,15,11087.0
7,2,2,1.0,0,1,0,1,1,3,8,0,5,5,21,22270.0
8,2,2,1.0,0,1,0,0,12,3,8,55,10,25,25,11087.0
9,4,4,1.0,0,0,1,1,27,5,11,25,19,15,7,8625.0
10,4,4,1.0,0,0,0,1,1,6,9,45,23,0,13,8907.0
11,3,3,3.0,1,0,0,1,18,4,20,20,22,55,2,4174.0
12,0,0,3.0,0,0,0,1,24,6,11,40,13,55,2,4667.0
13,3,3,1.0,0,1,0,0,9,5,21,10,9,20,12,9663.0
14,3,3,3.0,1,0,0,1,24,4,17,15,19,50,2,4804.0
15,4,4,2.0,0,0,0,1,3,3,16,40,19,15,26,14011.0
16,4,4,1.0,0,0,1,1,15,4,8,45,13,15,4,5830.0
17,4,4,1.0,0,1,0,0,12,6,14,0,12,35,22,10262.0
18,4,4,2.0,0,0,0,1,12,6,20,15,19,15,23,13381.0
19,4,4,1.0,0,1,0,0,27,5,16,0,12,35,20,12898.0
20,4,4,1.0,0,0,1,1,6,3,14,10,19,20,5,19495.0
21,2,2,1.0,0,0,0,1,21,3,22,0,13,20,15,6955.0
22,2,2,3.0,1,0,0,1,3,4,4,0,6,50,2,3943.0
23,2,2,3.0,1,0,0,1,1,5,18,55,21,50,2,4823.0
24,3,3,1.0,0,1,0,0,6,5,18,55,8,15,13,7757.0
25,4,4,2.0,0,1,0,1,9,6,21,25,12,35,15,13292.0
26,4,4,1.0,1,0,0,1,1,6,21,50,3,35,5,8238.0
27,4,4,1.0,0,0,1,1,15,5,7,0,12,55,5,7682.0
28,2,2,3.0,0,0,1,1,18,6,9,45,12,35,2,4668.0
29,0,0,3.0,0,0,1,1,15,6,7,5,9,20,2,3687.0
30,0,0,3.0,0,0,1,1,18,6,7,5,9,20,2,3687.0
31,3,3,2.0,0,0,0,1,1,5,9,50,23,15,13,13227.0
32,2,2,3.0,1,0,0,1,6,4,4,0,6,50,2,4423.0
33,4,4,2.0,0,1,0,0,15,6,14,35,12,35,22,10919.0
34,4,4,1.0,0,1,0,0,18,5,7,5,12,35,5,12373.0
35,4,4,1.0,1,0,0,1,27,6,10,35,21,0,10,5894.0
36,3,3,1.0,0,0,1,1,21,5,15,5,20,20,5,4649.0
37,3,3,3.0,0,0,0,1,18,5,14,15,16,45,2,6245.0
38,2,2,1.0,0,1,0,1,6,3,7,0,13,15,6,19225.0
39,4,4,1.0,0,1,0,1,3,6,7,5,19,0,11,14924.0
40,4,4,1.0,0,0,1,1,21,5,7,5,18,10,11,9646.0
41,2,2,1.0,0,0,0,1,15,3,6,45,15,15,8,8714.0
42,4,4,1.0,0,1,0,0,18,5,20,55,19,0,22,12373.0
43,2,2,3.0,0,0,1,1,6,5,11,10,13,55,2,3383.0
44,4,4,1.0,0,0,1,1,21,3,9,0,21,0,12,13062.0
45,2,2,3.0,0,0,1,0,24,3,5,45,8,35,2,3527.0
46,2,2,3.0,1,0,0,1,27,5,4,0,6,50,2,3943.0
47,0,0,3.0,0,0,0,1,3,5,11,40,13,55,2,4667.0
48,3,3,1.0,0,0,0,1,15,5,19,0,11,5,16,6117.0
49,4,4,2.0,0,1,0,0,27,6,23,5,19,0,19,11150.0
50,4,4,3.0,0,1,0,0,9,3,11,0,14,15,3,7202.0
51,3,3,1.0,0,1,0,1,1,5,9,35,10,55,25,12121.0
52,2,2,3.0,1,0,0,1,24,3,22,20,1,10,2,4377.0
53,2,2,3.0,1,0,0,1,18,6,21,15,0,15,3,3943.0
54,2,2,3.0,0,0,1,1,3,4,23,55,2,45,2,4483.0
55,3,3,1.0,0,1,0,1,24,3,19,45,12,0,16,14231.0
56,2,2,2.0,0,0,0,1,1,3,8,50,23,55,15,17345.0
57,0,0,3.0,0,0,1,1,6,3,7,5,9,20,2,7414.0
58,4,4,1.0,0,0,1,1,6,5,19,0,1,30,6,8073.0
59,1,1,1.0,0,0,1,1,6,3,15,40,16,45,25,12395.0
60,3,3,1.0,0,0,0,1,6,6,9,25,21,50,12,8366.0
61,4,4,1.0,0,0,0,1,3,4,6,5,9,25,27,5117.0
62,4,4,1.0,0,0,1,1,3,6,8,45,19,0,10,12524.0
63,4,4,1.0,1,0,0,1,15,5,15,0,1,30,10,7191.0
64,0,0,3.0,0,0,1,1,24,5,7,5,9,20,2,3687.0
65,4,4,1.0,1,0,0,1,24,6,10,35,21,0,10,5894.0
66,2,2,3.0,0,0,1,1,24,4,9,45,12,35,2,5403.0
67,1,1,3.0,0,0,0,1,6,5,13,55,15,25,1,3625.0
68,4,4,2.0,0,0,0,1,21,5,5,55,19,15,13,10861.0
69,0,0,3.0,1,0,0,1,12,3,13,20,15,35,2,6297.0
70,1,1,3.0,0,1,0,1,1,6,7,5,8,30,1,5678.0
71,2,2,1.0,0,1,0,0,9,3,5,45,8,15,26,9134.0
72,4,4,1.0,0,0,1,0,24,6,11,40,19,0,7,10791.0
73,4,4,2.0,0,1,0,1,24,6,23,5,12,35,13,12819.0
74,4,4,1.0,1,0,0,1,21,3,5,5,10,5,5,6893.0
75,2,2,3.0,0,0,1,1,9,3,9,50,12,35,2,7240.0
76,2,2,3.0,0,0,1,1,3,4,11,40,14,30,2,3898.0
77,1,1,3.0,1,0,0,1,3,4,6,25,7,55,1,4049.0
78,4,4,1.0,0,1,0,0,15,6,17,30,12,35,19,10262.0
79,0,0,3.0,0,0,1,0,21,3,8,20,10,35,2,3332.0
80,3,3,1.0,0,1,0,0,9,6,21,10,12,0,14,10844.0
81,2,2,3.0,0,1,0,1,24,3,19,55,22,35,2,7229.0
82,3,3,1.0,0,1,0,1,6,5,6,30,4,40,22,13941.0
83,4,4,1.0,1,0,0,1,27,6,11,25,21,0,9,5894.0
84,4,4,1.0,0,0,1,1,18,5,9,0,19,0,10,10197.0
85,2,2,1.0,0,1,0,0,6,3,14,5,11,25,21,13712.0
86,4,4,1.0,1,0,0,1,24,6,2,0,7,25,5,5636.0
87,4,4,2.0,0,1,0,1,6,6,9,40,4,25,18,13014.0
88,3,3,1.0,0,1,0,0,1,4,8,25,20,45,12,7064.0
89,3,3,1.0,0,1,0,0,24,5,20,25,14,25,18,10703.0
90,4,4,1.0,0,0,1,1,27,5,13,15,22,30,9,9646.0
91,4,4,1.0,0,0,1,1,6,3,2,15,13,20,11,17057.0
92,2,2,1.0,0,1,0,1,12,3,16,55,10,25,17,13817.0
93,4,4,2.0,0,0,0,1,6,3,5,55,19,15,13,13748.0
94,3,3,3.0,0,0,0,1,21,4,20,45,23,20,2,4880.0
95,0,0,3.0,1,0,0,1,21,6,5,15,7,40,2,3540.0
96,2,2,3.0,0,0,1,0,15,5,5,55,8,35,2,3257.0
97,2,2,3.0,0,1,0,0,3,6,19,50,22,50,3,6478.0
98,1,1,3.0,0,1,0,1,18,6,7,5,8,30,1,8040.0
99,4,4,2.0,0,1,0,1,12,6,20,0,12,35,16,14300.0
100,3,3,1.0,0,1,0,1,15,5,8,25,20,45,12,14781.0
101,3,3,1.0,0,1,0,1,9,6,20,0,8,15,12,14939.0
102,4,4,1.0,0,1,0,0,24,6,20,55,4,25,7,10262.0
103,3,3,1.0,0,0,0,1,12,5,14,35,14,35,24,6528.0
104,2,2,3.0,0,0,0,1,1,5,6,10,8,55,2,6121.0
105,4,4,2.0,0,1,0,0,18,5,19,30,4,25,8,13029.0
106,4,4,1.0,0,0,1,1,27,3,11,40,18,50,7,11421.0
107,4,4,1.0,0,0,1,1,27,3,4,45,19,15,14,7574.0
108,4,4,2.0,0,0,0,1,9,5,12,55,19,15,30,11596.0
109,4,4,2.0,0,1,0,1,24,5,23,5,19,0,19,15129.0
110,2,2,1.0,0,1,0,1,18,3,14,5,5,5,15,13555.0
111,2,2,3.0,1,0,0,1,12,4,18,55,21,50,2,5780.0
112,3,3,1.0,0,0,1,1,12,5,20,20,9,5,12,9397.0
113,4,4,1.0,0,1,0,1,6,3,18,15,4,25,10,17024.0
114,4,4,1.0,0,0,1,1,27,6,7,0,12,55,5,5281.0
115,4,4,1.0,0,0,1,1,18,5,7,5,22,30,15,10348.0
116,4,4,1.0,0,0,0,1,6,3,17,20,9,25,16,12677.0
117,4,4,1.0,0,0,1,1,3,3,15,25,1,35,10,15147.0
118,2,2,3.0,0,0,1,1,12,6,7,0,9,40,2,4668.0
119,4,4,1.0,0,1,0,1,9,5,7,5,19,0,11,15554.0
120,2,2,3.0,0,0,1,1,9,4,5,55,8,35,2,3971.0
121,1,1,3.0,0,0,0,1,3,5,15,0,16,25,1,3100.0
122,3,3,1.0,0,1,0,0,6,5,20,0,10,5,14,9663.0
123,4,4,1.0,0,0,0,1,1,3,23,0,19,15,20,27430.0
124,0,0,3.0,1,0,0,1,12,5,5,15,7,40,2,3540.0
125,3,3,2.0,0,0,0,1,21,5,12,0,11,10,23,10676.0
126,3,3,1.0,0,1,0,1,12,6,14,5,8,15,18,13044.0
127,3,3,1.0,0,1,0,1,6,5,20,0,12,0,16,14388.0
128,2,2,3.0,1,0,0,1,24,6,4,0,6,50,2,3943.0
129,0,0,3.0,1,0,0,1,3,6,14,45,17,5,2,3597.0
130,2,2,1.0,0,0,0,1,21,3,11,50,19,50,8,5932.0
131,4,4,1.0,0,1,0,0,15,6,11,30,4,25,16,10262.0
132,4,4,3.0,0,0,1,1,12,5,14,40,17,50,3,6216.0
133,3,3,3.0,1,0,0,1,15,6,20,25,23,10,2,4804.0
134,4,4,1.0,0,0,1,1,21,5,11,30,1,30,14,14067.0
135,4,4,2.0,0,1,0,1,18,5,19,10,19,0,23,15129.0
136,4,4,2.0,0,1,0,1,6,6,6,45,4,25,21,13376.0
137,4,4,2.0,0,0,0,1,27,6,22,0,19,15,21,10441.0
138,2,2,3.0,0,1,0,0,24,5,6,0,8,45,2,4030.0
139,4,4,1.0,0,1,0,1,3,3,8,0,18,50,10,17024.0
140,4,4,1.0,0,0,1,1,9,4,17,30,1,30,8,13017.0
141,3,3,1.0,0,0,1,1,6,6,23,30,7,45,8,6686.0
142,4,4,1.0,1,0,0,1,15,6,2,0,7,25,5,5636.0
143,4,4,1.0,1,0,0,1,9,6,7,35,16,10,8,6442.0
144,4,4,1.0,0,0,1,1,21,5,13,5,0,55,11,9486.0
145,3,3,1.0,0,1,0,0,21,5,20,0,23,35,27,10844.0
146,4,4,2.0,0,1,0,0,3,6,20,0,4,25,8,15318.0
147,4,4,1.0,0,0,0,1,3,4,12,30,9,25,20,5117.0
148,4,4,1.0,1,0,0,1,24,6,15,10,20,0,4,6147.0
149,4,4,1.0,0,0,1,1,9,6,12,50,21,0,8,7005.0
150,3,3,3.0,0,0,1,1,3,4,22,20,0,40,2,3873.0
151,4,4,2.0,0,1,0,0,21,3,18,25,18,50,24,9270.0
152,2,2,3.0,0,0,1,1,27,6,11,40,14,30,2,3898.0
153,3,3,1.0,0,1,0,1,12,5,8,25,20,45,12,14781.0
154,3,3,1.0,0,1,0,0,24,5,20,0,8,15,12,8586.0
155,3,3,2.0,0,0,0,1,9,5,8,20,7,55,23,10697.0
156,4,4,2.0,0,1,0,1,27,6,20,0,12,35,16,14300.0
157,2,2,3.0,1,0,0,1,3,3,18,55,21,45,2,8855.0
158,3,3,1.0,0,1,0,0,12,5,16,30,18,15,25,10844.0
159,4,4,1.0,0,1,0,1,6,3,2,15,4,25,26,17024.0
160,3,3,1.0,0,1,0,0,1,5,9,35,14,25,28,9314.0
161,2,2,3.0,1,0,0,1,24,3,0,40,3,25,2,4777.0
162,3,3,1.0,0,0,0,1,9,6,12,0,13,15,25,7662.0
163,4,4,1.0,1,0,0,1,9,5,6,50,16,10,9,6442.0
164,4,4,1.0,0,0,1,1,12,6,8,45,13,15,4,5264.0
165,4,4,1.0,0,1,0,0,27,5,13,0,4,25,15,12898.0
166,1,1,3.0,0,0,0,1,3,3,13,55,15,25,1,6092.0
167,2,2,3.0,0,0,1,1,21,5,5,55,8,35,2,3311.0
168,4,4,1.0,0,1,0,0,27,3,19,15,4,25,9,6540.0
169,2,2,3.0,1,0,0,1,27,5,1,30,4,15,2,3419.0
170,4,4,1.0,0,1,0,0,3,4,14,0,12,35,22,5177.0
171,4,4,3.0,0,0,0,1,18,4,18,5,21,10,3,8246.0
172,3,3,1.0,0,1,0,1,9,6,9,35,21,5,11,14676.0
173,4,4,1.0,0,0,1,1,27,6,11,30,21,0,9,13587.0
174,3,3,1.0,0,1,0,0,6,5,21,10,9,20,12,9663.0
175,3,3,1.0,0,1,0,1,12,6,16,30,10,5,17,13044.0
176,4,4,1.0,1,0,0,1,3,4,20,25,1,30,5,5073.0
177,3,3,1.0,0,0,1,1,21,5,17,0,18,50,25,9345.0
178,3,3,1.0,0,1,0,0,6,5,14,5,10,5,20,9663.0
179,4,4,1.0,0,0,1,1,21,5,8,0,21,0,13,14277.0
180,4,4,1.0,0,1,0,0,1,6,10,0,4,25,18,10262.0
181,1,1,3.0,0,1,0,1,27,3,19,35,21,5,1,5678.0
182,4,4,1.0,0,0,1,1,15,5,16,0,1,30,9,13727.0
183,3,3,1.0,0,1,0,0,6,5,20,0,12,0,16,9663.0
184,0,0,3.0,1,0,0,1,12,5,14,45,17,5,2,3858.0
185,4,4,1.0,0,0,1,1,24,6,8,45,13,15,4,4812.0
186,4,4,1.0,1,0,0,1,27,6,21,50,3,35,5,5775.0
187,3,3,1.0,0,1,0,0,6,6,9,35,9,45,24,10539.0
188,3,3,3.0,1,0,0,1,3,6,15,30,18,5,2,4804.0
