Source,Destination,Total_Stops,Price,Airline_IndiGo,Airline_Jet Airways,Airline_other,Additional_Info_Some info,Date_of_Journey_day,Date_of_Journey_month,Dep_Time_hour,Dep_Time_minute,Arrival_Time_hour,Arrival_Time_minute,Duration_in_hours
2,2,0,0.027497331292683242,1,0,0,0,0.8846153846153847,0.0,0.9565217391304348,0.36363636363636365,0.043478260869565216,0.18181818181818182,0.034482758620689655
1,1,2,0.07591990019677697,0,0,0,0,0.0,0.6666666666666665,0.21739130434782608,0.9090909090909091,0.5652173913043478,0.2727272727272727,0.2068965517241379
0,0,2,0.1559168134991576,0,1,0,0,0.3076923076923077,1.0,0.3913043478260869,0.45454545454545453,0.17391304347826086,0.45454545454545453,0.6206896551724138
1,1,1,0.05734826952014713,1,0,0,0,0.42307692307692313,0.6666666666666665,0.7826086956521738,0.09090909090909091,1.0,0.5454545454545454,0.13793103448275862
2,2,1,0.1484572942523118,1,0,0,0,0.0,0.0,0.6956521739130435,0.9090909090909091,0.9130434782608695,0.6363636363636364,0.10344827586206896
1,1,0,0.027188661530744795,0,0,1,0,0.8846153846153847,1.0,0.3913043478260869,0.0,0.4782608695652174,0.45454545454545453,0.034482758620689655
2,2,1,0.11996964747340938,0,1,0,1,0.42307692307692313,0.0,0.7826086956521738,1.0,0.43478260869565216,0.45454545454545453,0.4827586206896552
2,2,1,0.2637968952966445,0,1,0,0,0.0,0.0,0.34782608695652173,0.0,0.21739130434782608,0.09090909090909091,0.6896551724137931
2,2,1,0.11996964747340938,0,1,0,1,0.42307692307692313,0.0,0.34782608695652173,1.0,0.43478260869565216,0.45454545454545453,0.8275862068965517
0,0,1,0.08830527439455713,0,0,1,0,1.0,0.6666666666666665,0.4782608695652174,0.45454545454545453,0.8260869565217391,0.2727272727272727,0.2068965517241379
0,0,1,0.09193214409733386,0,0,0,0,0.0,1.0,0.3913043478260869,0.8181818181818181,1.0,0.0,0.41379310344827586
1,1,0,0.03105989479505614,1,0,0,0,0.6538461538461539,0.33333333333333326,0.8695652173913043,0.36363636363636365,0.9565217391304348,1.0,0.034482758620689655
4,4,0,0.037400486154875054,0,0,0,0,0.8846153846153847,1.0,0.4782608695652174,0.7272727272727273,0.5652173913043478,1.0,0.034482758620689655
1,1,1,0.10165524159839491,0,1,0,1,0.3076923076923077,0.6666666666666665,0.9130434782608695,0.18181818181818182,0.3913043478260869,0.36363636363636365,0.3793103448275862
1,1,0,0.03916247604594035,1,0,0,0,0.8846153846153847,0.33333333333333326,0.7391304347826086,0.2727272727272727,0.8260869565217391,0.9090909090909091,0.034482758620689655
0,0,2,0.15757591346957672,0,0,0,0,0.07692307692307693,0.0,0.6956521739130435,0.7272727272727273,0.8260869565217391,0.2727272727272727,0.8620689655172414
0,0,1,0.052358108368808914,0,0,1,0,0.5384615384615385,0.33333333333333326,0.34782608695652173,0.8181818181818181,0.5652173913043478,0.2727272727272727,0.10344827586206896
0,0,1,0.10935912440677531,0,1,0,1,0.42307692307692313,1.0,0.6086956521739131,0.0,0.5217391304347826,0.6363636363636364,0.7241379310344828
0,0,2,0.14947333221869252,0,0,0,0,0.42307692307692313,1.0,0.8695652173913043,0.2727272727272727,0.8260869565217391,0.2727272727272727,0.7586206896551725
0,0,1,0.14326135325968128,0,1,0,1,1.0,0.6666666666666665,0.6956521739130435,0.0,0.5217391304347826,0.6363636363636364,0.6551724137931035
0,0,1,0.22810695407251164,0,0,1,0,0.19230769230769232,0.0,0.6086956521739131,0.18181818181818182,0.8260869565217391,0.36363636363636365,0.13793103448275862
2,2,1,0.06682700345967359,0,0,0,0,0.7692307692307693,0.0,0.9565217391304348,0.0,0.5652173913043478,0.36363636363636365,0.4827586206896552
2,2,0,0.028088948336398595,1,0,0,0,0.07692307692307693,0.33333333333333326,0.17391304347826086,0.0,0.2608695652173913,0.9090909090909091,0.034482758620689655
2,2,0,0.039406839607474944,1,0,0,0,0.0,0.6666666666666665,0.7826086956521738,1.0,0.9130434782608695,0.9090909090909091,0.034482758620689655
1,1,1,0.07714171800445,0,1,0,1,0.19230769230769232,0.6666666666666665,0.7826086956521738,1.0,0.34782608695652173,0.2727272727272727,0.41379310344827586
0,0,2,0.1483286818515041,0,1,0,0,0.3076923076923077,1.0,0.9130434782608695,0.45454545454545453,0.5217391304347826,0.6363636363636364,0.4827586206896552
0,0,1,0.08332797448329968,1,0,0,0,0.0,1.0,0.9130434782608695,0.9090909090909091,0.13043478260869565,0.6363636363636364,0.13793103448275862
0,0,1,0.07617712499839234,0,0,1,0,0.5384615384615385,0.6666666666666665,0.30434782608695654,0.0,0.5217391304347826,1.0,0.13793103448275862
2,2,0,0.03741334739495582,0,0,1,0,0.6538461538461539,1.0,0.3913043478260869,0.8181818181818181,0.5217391304347826,0.6363636363636364,0.034482758620689655
4,4,0,0.024796470875721833,0,0,1,0,0.5384615384615385,1.0,0.30434782608695654,0.09090909090909091,0.3913043478260869,0.36363636363636365,0.034482758620689655
4,4,0,0.024796470875721833,0,0,1,0,0.6538461538461539,1.0,0.30434782608695654,0.09090909090909091,0.3913043478260869,0.36363636363636365,0.034482758620689655
1,1,2,0.14749270124625416,0,0,0,0,0.0,0.6666666666666665,0.3913043478260869,0.9090909090909091,1.0,0.2727272727272727,0.41379310344827586
2,2,0,0.03426234357516751,1,0,0,0,0.19230769230769232,0.33333333333333326,0.17391304347826086,0.0,0.2608695652173913,0.9090909090909091,0.034482758620689655
0,0,2,0.11780895913984027,0,1,0,1,0.5384615384615385,1.0,0.6086956521739131,0.6363636363636364,0.5217391304347826,0.6363636363636364,0.7241379310344828
0,0,1,0.13650920221727778,0,1,0,1,0.6538461538461539,0.6666666666666665,0.30434782608695654,0.09090909090909091,0.5217391304347826,0.6363636363636364,0.13793103448275862
0,0,1,0.05318122773397811,1,0,0,0,1.0,1.0,0.43478260869565216,0.6363636363636364,0.9130434782608695,0.0,0.3103448275862069
1,1,1,0.03716898383342121,0,0,1,0,0.7692307692307693,0.6666666666666665,0.6521739130434783,0.09090909090909091,0.8695652173913043,0.36363636363636365,0.13793103448275862
1,1,0,0.057695523002327886,0,0,0,0,0.6538461538461539,0.6666666666666665,0.6086956521739131,0.2727272727272727,0.6956521739130435,0.8181818181818181,0.034482758620689655
2,2,1,0.22463441925070415,0,1,0,0,0.19230769230769232,0.0,0.30434782608695654,0.0,0.5652173913043478,0.2727272727272727,0.1724137931034483
0,0,1,0.16931822566331844,0,1,0,0,0.07692307692307693,1.0,0.30434782608695654,0.09090909090909091,0.8260869565217391,0.0,0.3448275862068965
0,0,1,0.10143660051702184,0,0,1,0,0.7692307692307693,0.6666666666666665,0.30434782608695654,0.09090909090909091,0.7826086956521738,0.18181818181818182,0.3448275862068965
2,2,1,0.08944992476174553,0,0,0,0,0.5384615384615385,0.0,0.2608695652173913,0.8181818181818181,0.6521739130434783,0.2727272727272727,0.24137931034482757
0,0,1,0.13650920221727778,0,1,0,1,0.6538461538461539,0.6666666666666665,0.8695652173913043,1.0,0.8260869565217391,0.0,0.7241379310344828
2,2,0,0.020886653891168182,0,0,1,0,0.19230769230769232,0.6666666666666665,0.4782608695652174,0.18181818181818182,0.5652173913043478,1.0,0.034482758620689655
0,0,1,0.14537059663292734,0,0,1,0,0.7692307692307693,0.0,0.3913043478260869,0.0,0.9130434782608695,0.0,0.3793103448275862
2,2,0,0.02273867246279886,0,0,1,1,0.8846153846153847,0.0,0.21739130434782608,0.8181818181818181,0.34782608695652173,0.6363636363636364,0.034482758620689655
2,2,0,0.028088948336398595,1,0,0,0,1.0,0.6666666666666665,0.17391304347826086,0.0,0.2608695652173913,0.9090909090909091,0.034482758620689655
4,4,0,0.037400486154875054,0,0,0,0,0.07692307692307693,0.6666666666666665,0.4782608695652174,0.7272727272727273,0.5652173913043478,1.0,0.034482758620689655
1,1,1,0.056049284271989505,0,0,0,0,0.5384615384615385,0.6666666666666665,0.8260869565217391,0.0,0.4782608695652174,0.09090909090909091,0.5172413793103449
0,0,2,0.1207799055984978,0,1,0,1,1.0,1.0,1.0,0.09090909090909091,0.8260869565217391,0.0,0.6206896551724138
0,0,0,0.07000372975962342,0,1,0,1,0.3076923076923077,0.0,0.4782608695652174,0.0,0.6086956521739131,0.2727272727272727,0.06896551724137931
1,1,1,0.1332681697169241,0,1,0,0,0.0,0.6666666666666665,0.3913043478260869,0.6363636363636364,0.43478260869565216,1.0,0.8275862068965517
2,2,0,0.03367072653145216,1,0,0,0,0.8846153846153847,0.0,0.9565217391304348,0.36363636363636365,0.043478260869565216,0.18181818181818182,0.034482758620689655
