Source,Destination,Total_Stops,Airline_IndiGo,Airline_Jet Airways,Airline_other,Additional_Info_Some info,Date_of_Journey_day,Date_of_Journey_month,Dep_Time_hour,Dep_Time_minute,Arrival_Time_hour,Arrival_Time_minute,Duration_in_hours
2,2,0,1,0,0,0,24,3,22,20,1,10,2
1,1,2,0,0,0,0,1,5,5,50,13,15,7
0,0,2,0,1,0,0,9,6,9,25,4,25,19
1,1,1,1,0,0,0,12,5,18,5,23,30,5
2,2,1,1,0,0,0,1,3,16,50,21,35,4
1,1,0,0,0,1,0,24,6,9,0,11,25,2
2,2,1,0,1,0,1,12,3,18,55,10,25,15
2,2,1,0,1,0,0,1,3,8,0,5,5,21
2,2,1,0,1,0,1,12,3,8,55,10,25,25
0,0,1,0,0,1,0,27,5,11,25,19,15,7
0,0,1,0,0,0,0,1,6,9,45,23,0,13
1,1,0,1,0,0,0,18,4,20,20,22,55,2
4,4,0,0,0,0,0,24,6,11,40,13,55,2
1,1,1,0,1,0,1,9,5,21,10,9,20,12
1,1,0,1,0,0,0,24,4,17,15,19,50,2
0,0,2,0,0,0,0,3,3,16,40,19,15,26
0,0,1,0,0,1,0,15,4,8,45,13,15,4
0,0,1,0,1,0,1,12,6,14,0,12,35,22
0,0,2,0,0,0,0,12,6,20,15,19,15,23
0,0,1,0,1,0,1,27,5,16,0,12,35,20
0,0,1,0,0,1,0,6,3,14,10,19,20,5
2,2,1,0,0,0,0,21,3,22,0,13,20,15
2,2,0,1,0,0,0,3,4,4,0,6,50,2
2,2,0,1,0,0,0,1,5,18,55,21,50,2
1,1,1,0,1,0,1,6,5,18,55,8,15,13
0,0,2,0,1,0,0,9,6,21,25,12,35,15
0,0,1,1,0,0,0,1,6,21,50,3,35,5
0,0,1,0,0,1,0,15,5,7,0,12,55,5
2,2,0,0,0,1,0,18,6,9,45,12,35,2
4,4,0,0,0,1,0,15,6,7,5,9,20,2
4,4,0,0,0,1,0,18,6,7,5,9,20,2
1,1,2,0,0,0,0,1,5,9,50,23,15,13
2,2,0,1,0,0,0,6,4,4,0,6,50,2
0,0,2,0,1,0,1,15,6,14,35,12,35,22
0,0,1,0,1,0,1,18,5,7,5,12,35,5
0,0,1,1,0,0,0,27,6,10,35,21,0,10
1,1,1,0,0,1,0,21,5,15,5,20,20,5
1,1,0,0,0,0,0,18,5,14,15,16,45,2
2,2,1,0,1,0,0,6,3,7,0,13,15,6
0,0,1,0,1,0,0,3,6,7,5,19,0,11
0,0,1,0,0,1,0,21,5,7,5,18,10,11
2,2,1,0,0,0,0,15,3,6,45,15,15,8
0,0,1,0,1,0,1,18,5,20,55,19,0,22
2,2,0,0,0,1,0,6,5,11,10,13,55,2
0,0,1,0,0,1,0,21,3,9,0,21,0,12
2,2,0,0,0,1,1,24,3,5,45,8,35,2
2,2,0,1,0,0,0,27,5,4,0,6,50,2
4,4,0,0,0,0,0,3,5,11,40,13,55,2
1,1,1,0,0,0,0,15,5,19,0,11,5,16
0,0,2,0,1,0,1,27,6,23,5,19,0,19
0,0,0,0,1,0,1,9,3,11,0,14,15,3
1,1,1,0,1,0,0,1,5,9,35,10,55,25
2,2,0,1,0,0,0,24,3,22,20,1,10,2
2,2,0,1,0,0,0,18,6,21,15,0,15,3
2,2,0,0,0,1,0,3,4,23,55,2,45,2
1,1,1,0,1,0,0,24,3,19,45,12,0,16
2,2,2,0,0,0,0,1,3,8,50,23,55,15
4,4,0,0,0,1,0,6,3,7,5,9,20,2
0,0,1,0,0,1,0,6,5,19,0,1,30,6
3,3,1,0,0,1,0,6,3,15,40,16,45,25
1,1,1,0,0,0,0,6,6,9,25,21,50,12
0,0,1,0,0,0,0,3,4,6,5,9,25,27
0,0,1,0,0,1,0,3,6,8,45,19,0,10
0,0,1,1,0,0,0,15,5,15,0,1,30,10
4,4,0,0,0,1,0,24,5,7,5,9,20,2
0,0,1,1,0,0,0,24,6,10,35,21,0,10
2,2,0,0,0,1,0,24,4,9,45,12,35,2
3,3,0,0,0,0,0,6,5,13,55,15,25,1
0,0,2,0,0,0,0,21,5,5,55,19,15,13
4,4,0,1,0,0,0,12,3,13,20,15,35,2
3,3,0,0,1,0,0,1,6,7,5,8,30,1
2,2,1,0,1,0,1,9,3,5,45,8,15,26
0,0,1,0,0,1,1,24,6,11,40,19,0,7
0,0,2,0,1,0,0,24,6,23,5,12,35,13
0,0,1,1,0,0,0,21,3,5,5,10,5,5
2,2,0,0,0,1,0,9,3,9,50,12,35,2
2,2,0,0,0,1,0,3,4,11,40,14,30,2
3,3,0,1,0,0,0,3,4,6,25,7,55,1
0,0,1,0,1,0,1,15,6,17,30,12,35,19
4,4,0,0,0,1,1,21,3,8,20,10,35,2
1,1,1,0,1,0,1,9,6,21,10,12,0,14
2,2,0,0,1,0,0,24,3,19,55,22,35,2
1,1,1,0,1,0,0,6,5,6,30,4,40,22
0,0,1,1,0,0,0,27,6,11,25,21,0,9
0,0,1,0,0,1,0,18,5,9,0,19,0,10
2,2,1,0,1,0,1,6,3,14,5,11,25,21
0,0,1,1,0,0,0,24,6,2,0,7,25,5
0,0,2,0,1,0,0,6,6,9,40,4,25,18
1,1,1,0,1,0,1,1,4,8,25,20,45,12
1,1,1,0,1,0,1,24,5,20,25,14,25,18
0,0,1,0,0,1,0,27,5,13,15,22,30,9
0,0,1,0,0,1,0,6,3,2,15,13,20,11
2,2,1,0,1,0,0,12,3,16,55,10,25,17
0,0,2,0,0,0,0,6,3,5,55,19,15,13
1,1,0,0,0,0,0,21,4,20,45,23,20,2
4,4,0,1,0,0,0,21,6,5,15,7,40,2
2,2,0,0,0,1,1,15,5,5,55,8,35,2
2,2,0,0,1,0,1,3,6,19,50,22,50,3
3,3,0,0,1,0,0,18,6,7,5,8,30,1
0,0,2,0,1,0,0,12,6,20,0,12,35,16
1,1,1,0,1,0,0,15,5,8,25,20,45,12
1,1,1,0,1,0,0,9,6,20,0,8,15,12
0,0,1,0,1,0,1,24,6,20,55,4,25,7
1,1,1,0,0,0,0,12,5,14,35,14,35,24
2,2,0,0,0,0,0,1,5,6,10,8,55,2
0,0,2,0,1,0,1,18,5,19,30,4,25,8
0,0,1,0,0,1,0,27,3,11,40,18,50,7
0,0,1,0,0,1,0,27,3,4,45,19,15,14
0,0,2,0,0,0,0,9,5,12,55,19,15,30
0,0,2,0,1,0,0,24,5,23,5,19,0,19
2,2,1,0,1,0,0,18,3,14,5,5,5,15
2,2,0,1,0,0,0,12,4,18,55,21,50,2
1,1,1,0,0,1,0,12,5,20,20,9,5,12
0,0,1,0,1,0,0,6,3,18,15,4,25,10
0,0,1,0,0,1,0,27,6,7,0,12,55,5
0,0,1,0,0,1,0,18,5,7,5,22,30,15
0,0,1,0,0,0,0,6,3,17,20,9,25,16
0,0,1,0,0,1,0,3,3,15,25,1,35,10
2,2,0,0,0,1,0,12,6,7,0,9,40,2
0,0,1,0,1,0,0,9,5,7,5,19,0,11
2,2,0,0,0,1,0,9,4,5,55,8,35,2
3,3,0,0,0,0,0,3,5,15,0,16,25,1
1,1,1,0,1,0,1,6,5,20,0,10,5,14
0,0,1,0,0,0,0,1,3,23,0,19,15,20
4,4,0,1,0,0,0,12,5,5,15,7,40,2
1,1,2,0,0,0,0,21,5,12,0,11,10,23
1,1,1,0,1,0,0,12,6,14,5,8,15,18
1,1,1,0,1,0,0,6,5,20,0,12,0,16
2,2,0,1,0,0,0,24,6,4,0,6,50,2
4,4,0,1,0,0,0,3,6,14,45,17,5,2
2,2,1,0,0,0,0,21,3,11,50,19,50,8
0,0,1,0,1,0,1,15,6,11,30,4,25,16
0,0,0,0,0,1,0,12,5,14,40,17,50,3
1,1,0,1,0,0,0,15,6,20,25,23,10,2
0,0,1,0,0,1,0,21,5,11,30,1,30,14
0,0,2,0,1,0,0,18,5,19,10,19,0,23
0,0,2,0,1,0,0,6,6,6,45,4,25,21
0,0,2,0,0,0,0,27,6,22,0,19,15,21
2,2,0,0,1,0,1,24,5,6,0,8,45,2
0,0,1,0,1,0,0,3,3,8,0,18,50,10
0,0,1,0,0,1,0,9,4,17,30,1,30,8
1,1,1,0,0,1,0,6,6,23,30,7,45,8
0,0,1,1,0,0,0,15,6,2,0,7,25,5
0,0,1,1,0,0,0,9,6,7,35,16,10,8
0,0,1,0,0,1,0,21,5,13,5,0,55,11
1,1,1,0,1,0,1,21,5,20,0,23,35,27
0,0,2,0,1,0,1,3,6,20,0,4,25,8
0,0,1,0,0,0,0,3,4,12,30,9,25,20
0,0,1,1,0,0,0,24,6,15,10,20,0,4
0,0,1,0,0,1,0,9,6,12,50,21,0,8
1,1,0,0,0,1,0,3,4,22,20,0,40,2
0,0,2,0,1,0,1,21,3,18,25,18,50,24
2,2,0,0,0,1,0,27,6,11,40,14,30,2
1,1,1,0,1,0,0,12,5,8,25,20,45,12
1,1,1,0,1,0,1,24,5,20,0,8,15,12
1,1,2,0,0,0,0,9,5,8,20,7,55,23
0,0,2,0,1,0,0,27,6,20,0,12,35,16
2,2,0,1,0,0,0,3,3,18,55,21,45,2
1,1,1,0,1,0,1,12,5,16,30,18,15,25
0,0,1,0,1,0,0,6,3,2,15,4,25,26
1,1,1,0,1,0,1,1,5,9,35,14,25,28
2,2,0,1,0,0,0,24,3,0,40,3,25,2
1,1,1,0,0,0,0,9,6,12,0,13,15,25
0,0,1,1,0,0,0,9,5,6,50,16,10,9
0,0,1,0,0,1,0,12,6,8,45,13,15,4
0,0,1,0,1,0,1,27,5,13,0,4,25,15
